Epoch,Train Acc,Validation Acc,Test Acc
1,0.8813411378106387,0.9248151191454396,0.9155373032169747
2,0.9444187718217293,0.9338537387017255,0.9301848049281314
3,0.969731977818854,0.9437140509449465,0.9393566050650239
4,0.9842370096529062,0.9404272801972062,0.9355236139630391
5,0.9897052782912302,0.9502875924404273,0.9388090349075975
6,0.9929913739987677,0.9396055875102711,0.940041067761807
7,0.9922982131854591,0.947000821692687,0.9423682409308692
8,0.9944547134935305,0.948644207066557,0.9483915126625599
9,0.9963031423290203,0.9465899753492194,0.944558521560575
10,0.99530191004313,0.9412489728841413,0.9399041752224504
11,0.9954046005339906,0.9539852095316351,0.9483915126625599
12,0.9968936126514685,0.947000821692687,0.9399041752224504
13,0.9957640172520025,0.9482333607230896,0.94072553045859
14,0.996611213801602,0.952341824157765,0.9448323066392882
15,0.997176011501335,0.9515201314708299,0.9462012320328542
